Date,Close/Last,Pct_Change
2022-01-05,4700.58,
2022-01-04,4793.54,0.01977628292678779
2022-01-03,4796.56,0.0006300145612638808
2021-12-31,4766.18,-0.0063337058225061416
2021-12-30,4778.73,0.002633135970525613
2021-12-29,4793.06,0.002998704676765662
2021-12-28,4786.35,-0.0013999407476643633
2021-12-27,4791.19,0.001011208958809684
2021-12-23,4725.79,-0.01365005353576032
2021-12-22,4696.56,-0.006185209245438195
2021-12-21,4649.23,-0.010077588703221285
2021-12-20,4568.02,-0.017467408581635868
2021-12-17,4620.64,0.011519214013949064
2021-12-16,4668.67,0.010394663942657312
2021-12-15,4709.85,0.008820499199986287
2021-12-14,4634.09,-0.016085437965115745
2021-12-13,4668.97,0.0075268283524920765
2021-12-10,4712.02,0.009220449049790469
2021-12-09,4667.45,-0.009458788375261706
2021-12-08,4701.21,0.007233071591554285
2021-12-07,4686.75,-0.003075803888786033
2021-12-06,4591.67,-0.020286979250013326
