pol_chn,sp_chn
0.3072101721730127,0.0075268283524920765
-0.10777755531383337,-0.016085437965115745
-0.073466920208762,0.008820499199986287
0.07878529360465403,0.010394663942657312
0.13542226891108267,0.011519214013949064
-0.4056872505850384,-0.017467408581635868
-0.0032966065656897525,-0.010077588703221285
0.49865659611308466,-0.006185209245438195
-0.3870238676241604,-0.01365005353576032
-0.22782322647822506,0.001011208958809684
-0.21016549113109073,-0.0013999407476643633
0.1365748946822416,0.002998704676765662
-0.071768631983406,0.002633135970525613
0.07616318621286777,-0.0063337058225061416
