date,value
1972,29.0073425
1973,28.92177263
1974,29.10840133
1975,26.71837402
1976,26.48581
1977,27.07072012
1978,28.13558182
1979,28.60343479
1980,28.5258746
1981,28.04775221
1982,27.09919336
1983,27.80652075
1984,29.0103743
1985,30.5028086
1986,32.74336013
1987,32.22169217
1988,32.44583801
1989,31.39666031
1990,29.72460684
1991,29.12939079
1992,29.48600415
1993,30.84808287
1994,31.56028067
1995,31.66083202
1996,31.87982065
1997,31.7470264
1998,32.04662624
1999,31.92657078
2000,31.59411903
2001,30.16719583
2002,30.11718967
2003,30.14077788
2004,31.29221449
2005,33.07176767
2006,31.86029116
2007,35.09300117
2008,33.42154071
2009,33.18383922
2010,32.73723667
2011,32.75348927
2012,33.44639821
2013,33.81975266
2014,36.50029166
2015,33.92161906
2016,33.29505948
2017,33.39987958
2018,32.17781793
2019,34.28475613
